calendar_year,calendar_month,route,average_daily_ridership,source,objectid,city
2019,8,59,3811,APC,2,Philadelphia
2019,8,60,8550,APC,3,Philadelphia
2019,8,61,3563,APC,4,Philadelphia
2019,8,62,226,APC,5,Philadelphia
2019,8,64,4335,APC,6,Philadelphia
2019,8,65,7052,APC,7,Philadelphia
2019,8,66,8839,APC,8,Philadelphia
2019,8,67,2674,APC,9,Philadelphia
2019,8,68,2004,APC,10,Philadelphia
2019,8,70,5029,APC,11,Philadelphia
2019,8,73,1561,APC,12,Philadelphia
2019,8,75,2663,APC,13,Philadelphia
2019,8,77,647,APC,14,Philadelphia
2019,8,78,114,APC,15,Philadelphia
2019,8,79,3898,APC,16,Philadelphia
2019,8,80,246,APC,17,Philadelphia
2019,8,84,2425,APC,18,Philadelphia
2019,8,88,1143,APC,19,Philadelphia
2019,8,89,1564,APC,20,Philadelphia
2019,8,90,446,APC,21,Philadelphia
2019,8,92,322,APC,22,Philadelphia
2019,8,93,1298,APC,23,Philadelphia
2019,8,94,421,APC,24,Philadelphia
2019,8,95,516,APC,25,Philadelphia
2019,8,96,1294,APC,26,Philadelphia
2019,8,97,655,APC,27,Philadelphia
2019,8,98,970,APC,28,Philadelphia
2019,8,99,1305,APC,29,Philadelphia
2019,8,D1,3553,Traffic_Estimate,30,Philadelphia
2019,8,D2,3600,Traffic_Estimate,31,Philadelphia
2019,8,103,1107,APC,32,Philadelphia
2019,8,104,3303,APC,33,Philadelphia
2019,8,105,1146,APC,34,Philadelphia
2019,8,106,1272,APC,35,Philadelphia
2019,8,107,999,APC,36,Philadelphia
2019,8,108,5204,APC,37,Philadelphia
2019,8,109,4600,APC,38,Philadelphia
2019,8,110,1925,APC,39,Philadelphia
2019,8,111,1371,APC,40,Philadelphia
2019,8,112,912,APC,41,Philadelphia
2019,8,113,6708,APC,42,Philadelphia
2019,8,114,1904,APC,43,Philadelphia
2019,8,115,1014,APC,44,Philadelphia
2019,8,117,1912,APC,45,Philadelphia
2019,8,118,430,APC,46,Philadelphia
2019,8,119,740,APC,47,Philadelphia
2019,8,120,265,APC,48,Philadelphia
2019,8,123,1021,APC,49,Philadelphia
2019,8,124,1830,APC,50,Philadelphia
2019,8,125,2289,APC,51,Philadelphia
2019,8,126,634,APC,52,Philadelphia
2019,8,127,342,APC,53,Philadelphia
2019,8,128,375,APC,54,Philadelphia
2019,8,129,977,APC,55,Philadelphia
2019,8,130,543,APC,56,Philadelphia
2019,8,131,635,APC,57,Philadelphia
2019,8,132,402,APC,58,Philadelphia
2019,8,133,95,APC,59,Philadelphia
2019,8,139,412,APC,60,Philadelphia
2019,8,150,19,APC,61,Philadelphia
2019,8,201,161,APC,62,Philadelphia
2019,8,204,215,APC,63,Philadelphia
2019,8,205,67,APC,64,Philadelphia
2019,8,206,145,APC,65,Philadelphia
2019,8,310,408,APC,66,Philadelphia
2019,8,311,212,APC,67,Philadelphia
2019,8,47M,852,APC,68,Philadelphia
